[2016-03-29 03:17:41,206] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239461 @mysensors ^sdbltrans vb9EkQ5ZrI5yJkvmKcuqIDCmdK0rXPGvpxQm4HvzCgYI7yY8Wk0hzieYOfSy5gCCp5t9mufbeVbTRzYuF7iFN5iQpV7N4RfJdCwtuJ1wIrfSq59eZfkImFm+ZHzeZkPOhQlei0LY7IuENld37qVLajp9jAsiiCV51gZPSkjW/vc=
[2016-03-29 03:17:41,206] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkzJ5Wm+I6i4mDNZnahne/XUpmJS/FunjYTMoLaDRAYX5pXJOfx68bpmI4SZcJG9D8tr98RB5XpufN6SxvA/AV1/cN5PkXg/vBOtCU/vibHM5LBseBTrxnOrKl1SZ9T6y1pnu8Wxe4S+36xIT2Ocp/GCP9LSsgV4rBU7Ab2ejgqQIDAQAB #time 1459239461 @mysensors ^sdbltrans vb9EkQ5ZrI5yJkvmKcuqIDCmdK0rXPGvpxQm4HvzCgYI7yY8Wk0hzieYOfSy5gCCp5t9mufbeVbTRzYuF7iFN5iQpV7N4RfJdCwtuJ1wIrfSq59eZfkImFm+ZHzeZkPOhQlei0LY7IuENld37qVLajp9jAsiiCV51gZPSkjW/vc=
[2016-03-29 03:17:41,266] [__main__] [INFO] Registration status: DONE
[2016-03-29 03:17:41,284] [__main__] [INFO] senz received:  PING #time 1459239461 @mysensors ^sdbltrans 2O3MprOnziNoFXYoRDeKbZCJWdclbSDm2oOq9/S1WN18uKTaChqZXZnzOcPYhCByN2XXEj3P2RhIjiso844dpHAIW7Fry5z4hiLtvdvYzO/eV0gu9Qpa4QY5OIJdE2NgBtzBbm9Pv57Z2MT0vorqsGG33tHDHyxZ3wLsx333+2w=
[2016-03-29 03:17:41,284] [myParser] [INFO] PING #time 1459239461 @mysensors ^sdbltrans 2O3MprOnziNoFXYoRDeKbZCJWdclbSDm2oOq9/S1WN18uKTaChqZXZnzOcPYhCByN2XXEj3P2RhIjiso844dpHAIW7Fry5z4hiLtvdvYzO/eV0gu9Qpa4QY5OIJdE2NgBtzBbm9Pv57Z2MT0vorqsGG33tHDHyxZ3wLsx333+2w=
[2016-03-29 03:25:42,608] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCWl59RkqXcQXRfK32FpGJW0s3Nz1TUd9xkEeB2+bVS5TfOqSIlafyCHnnQfNEgmIgwd4lSyy8tlEQpTjRFK2/giMbtzSTaq9OG7aO0BsVtkjlKB4gQnGu4gO+CPDR99UnJf5NJ4T8kkCg2r0EMzepT/cKK+lMMneNUr8FmhNKi7wIDAQAB #time 1459239942 @mysensors ^sdbltrans jXvSxjRH6cUce+314hYp3a9zIF1SQskomJtT/9v4t9JSoo7BdXGOHOim/u0aC60QtuB+P4NmD1oGwVb5nKaY+eUZWOAuwoAIV197moOlxM7CS1FYfZEBJPfcN9FARCmZ4cTNdp2JgtyvijS5Im3seim296p4FLOWtGOwxT60jaE=
[2016-03-29 03:25:42,608] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCWl59RkqXcQXRfK32FpGJW0s3Nz1TUd9xkEeB2+bVS5TfOqSIlafyCHnnQfNEgmIgwd4lSyy8tlEQpTjRFK2/giMbtzSTaq9OG7aO0BsVtkjlKB4gQnGu4gO+CPDR99UnJf5NJ4T8kkCg2r0EMzepT/cKK+lMMneNUr8FmhNKi7wIDAQAB #time 1459239942 @mysensors ^sdbltrans jXvSxjRH6cUce+314hYp3a9zIF1SQskomJtT/9v4t9JSoo7BdXGOHOim/u0aC60QtuB+P4NmD1oGwVb5nKaY+eUZWOAuwoAIV197moOlxM7CS1FYfZEBJPfcN9FARCmZ4cTNdp2JgtyvijS5Im3seim296p4FLOWtGOwxT60jaE=
[2016-03-29 03:25:42,611] [__main__] [INFO] Registration status: DONE
[2016-03-29 03:25:42,649] [__main__] [INFO] senz received:  PING #time 1459239942 @mysensors ^sdbltrans kNua4ZWpYp9h1Lau1sPeRzPx2xBWZZ4KpUvWJnyfGvkFfX4TCyHZGHybmnlAxUN1vX6PbR5TyuFli7qEvakzPd1fO/05/xaSEDWC8iM9n/pz/JoN7xH2oVNg/r+uCy5PGanBGf5wdqH2t1JfwD8kcM2sP20K5P5X26EGEL3XaY8=
[2016-03-29 03:25:42,649] [myParser] [INFO] PING #time 1459239942 @mysensors ^sdbltrans kNua4ZWpYp9h1Lau1sPeRzPx2xBWZZ4KpUvWJnyfGvkFfX4TCyHZGHybmnlAxUN1vX6PbR5TyuFli7qEvakzPd1fO/05/xaSEDWC8iM9n/pz/JoN7xH2oVNg/r+uCy5PGanBGf5wdqH2t1JfwD8kcM2sP20K5P5X26EGEL3XaY8=
[2016-03-29 03:27:51,815] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCWl59RkqXcQXRfK32FpGJW0s3Nz1TUd9xkEeB2+bVS5TfOqSIlafyCHnnQfNEgmIgwd4lSyy8tlEQpTjRFK2/giMbtzSTaq9OG7aO0BsVtkjlKB4gQnGu4gO+CPDR99UnJf5NJ4T8kkCg2r0EMzepT/cKK+lMMneNUr8FmhNKi7wIDAQAB #time 1459240071 @mysensors ^sdbltrans bwpwzFT5ncTF7wFIkWFh04zgb/dRY0+0ULc+9dlqkGp1nf7JwzLloSUBm+D3GnSzjdMh/3hHwnseNN2RxKuqlVuNcV20fwTWvUTE8uKyfTbkiVzO+cNhSiIdJv4FSX4GmfafvU5gxdwZrGzG+6iyU+2bLRoeSn1HaJZgy9bn0oI=
[2016-03-29 03:27:51,815] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCWl59RkqXcQXRfK32FpGJW0s3Nz1TUd9xkEeB2+bVS5TfOqSIlafyCHnnQfNEgmIgwd4lSyy8tlEQpTjRFK2/giMbtzSTaq9OG7aO0BsVtkjlKB4gQnGu4gO+CPDR99UnJf5NJ4T8kkCg2r0EMzepT/cKK+lMMneNUr8FmhNKi7wIDAQAB #time 1459240071 @mysensors ^sdbltrans bwpwzFT5ncTF7wFIkWFh04zgb/dRY0+0ULc+9dlqkGp1nf7JwzLloSUBm+D3GnSzjdMh/3hHwnseNN2RxKuqlVuNcV20fwTWvUTE8uKyfTbkiVzO+cNhSiIdJv4FSX4GmfafvU5gxdwZrGzG+6iyU+2bLRoeSn1HaJZgy9bn0oI=
[2016-03-29 03:27:51,827] [__main__] [INFO] Registration status: DONE
[2016-03-29 03:27:51,869] [__main__] [INFO] senz received:  PING #time 1459240071 @mysensors ^sdbltrans INnxciCsEO7ButRR1K7rWU+bPdz/tdZ7EAZqvq9gO5P65Sq9yNErY1/l/svQD95rsczGOmovRztJBqIsKhCdpJa7obP52oGMBhtC3kYZgCuefIswHUnks5AiaQFS2IcSsjl0Qxw57QBlSaUoDYsi7NJMSOmVbDth8DJ2PryrOMM=
[2016-03-29 03:27:51,869] [myParser] [INFO] PING #time 1459240071 @mysensors ^sdbltrans INnxciCsEO7ButRR1K7rWU+bPdz/tdZ7EAZqvq9gO5P65Sq9yNErY1/l/svQD95rsczGOmovRztJBqIsKhCdpJa7obP52oGMBhtC3kYZgCuefIswHUnks5AiaQFS2IcSsjl0Qxw57QBlSaUoDYsi7NJMSOmVbDth8DJ2PryrOMM=
[2016-03-29 03:28:35,869] [__main__] [INFO] senz received:  SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCWl59RkqXcQXRfK32FpGJW0s3Nz1TUd9xkEeB2+bVS5TfOqSIlafyCHnnQfNEgmIgwd4lSyy8tlEQpTjRFK2/giMbtzSTaq9OG7aO0BsVtkjlKB4gQnGu4gO+CPDR99UnJf5NJ4T8kkCg2r0EMzepT/cKK+lMMneNUr8FmhNKi7wIDAQAB #time 1459240115 @mysensors ^sdbltrans jmwHTsf8sKxNL4hA1h4yLdg6MC2lJtj8riICO3aIYPQW7l5JdyI2TP8kHrKQF4LQlMcRxj5CVQ7jLOt9e/7iVY5VnzjRIwYRmoQ94dZKDzgmsfro3Bn/O38FVravfVs5AfS+k3WYdX2RGt0sNoi8wzuG2YifWfNPrlyhCLE5G0A=
[2016-03-29 03:28:35,869] [myParser] [INFO] SHARE #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCWl59RkqXcQXRfK32FpGJW0s3Nz1TUd9xkEeB2+bVS5TfOqSIlafyCHnnQfNEgmIgwd4lSyy8tlEQpTjRFK2/giMbtzSTaq9OG7aO0BsVtkjlKB4gQnGu4gO+CPDR99UnJf5NJ4T8kkCg2r0EMzepT/cKK+lMMneNUr8FmhNKi7wIDAQAB #time 1459240115 @mysensors ^sdbltrans jmwHTsf8sKxNL4hA1h4yLdg6MC2lJtj8riICO3aIYPQW7l5JdyI2TP8kHrKQF4LQlMcRxj5CVQ7jLOt9e/7iVY5VnzjRIwYRmoQ94dZKDzgmsfro3Bn/O38FVravfVs5AfS+k3WYdX2RGt0sNoi8wzuG2YifWfNPrlyhCLE5G0A=
[2016-03-29 03:28:35,872] [__main__] [INFO] Registration status: DONE
[2016-03-29 03:28:35,915] [__main__] [INFO] senz received:  PING #time 1459240115 @mysensors ^sdbltrans C6FLE0V6QCE7h1eRqYL8jR8UHE7gLscsxCVX1r0wDjm3G+aKND5/PrSfRP46fy0hOAoBxAA2TeqJZv+N4kZzL2amuUrx4tkhjrZRl6Pp9sVCGVgVXzVhQbT0iiYAMFD68N//kLxCp0hwIbxSIpp4ojcN0tXbVmPp0E7xKIZDUBY=
[2016-03-29 03:28:35,915] [myParser] [INFO] PING #time 1459240115 @mysensors ^sdbltrans C6FLE0V6QCE7h1eRqYL8jR8UHE7gLscsxCVX1r0wDjm3G+aKND5/PrSfRP46fy0hOAoBxAA2TeqJZv+N4kZzL2amuUrx4tkhjrZRl6Pp9sVCGVgVXzVhQbT0iiYAMFD68N//kLxCp0hwIbxSIpp4ojcN0tXbVmPp0E7xKIZDUBY=
